noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
1149,140,104,19,5,5,2,1,18,0,0.018518518518518517,11.368421052631579,6.555114727132743,46,32,19,4,4,7.0
1362,157,109,12,18,18,0,0,15,0,0.016194331983805668,20.583333333333332,8.683877142280528,60,34,19,10,11,8.0
756,91,77,9,4,4,0,0,3,0,0.015267175572519083,14.555555555555555,7.95977541714325,38,24,8,3,7,6.0
1901,235,141,24,8,8,0,0,11,0,0.011019283746556474,15.125,7.827901485498311,86,53,27,15,17,8.0
3109,387,269,38,24,24,5,2,39,0,0.007067137809187279,14.894736842105264,5.585646424844621,139,77,49,18,21,9.0
1431,185,111,12,0,0,0,0,13,0,0.01444043321299639,23.083333333333332,22.669577019040787,60,40,19,9,4,6.0
2081,253,167,20,20,20,0,1,26,0,0.010554089709762533,18.95,7.4463078099149245,100,56,33,12,13,7.0
2010,249,180,17,12,12,3,0,21,0,0.02368421052631579,22.352941176470587,14.22070229286944,76,53,28,29,2,8.0
287,36,29,2,0,0,0,0,4,0,0.16,25.0,3.0,13,8,4,4,1,2.0
1756,217,145,23,20,20,0,1,18,0,0.012422360248447204,14.0,7.762787486799918,78,51,26,13,6,8.0
2023,261,169,23,24,24,0,0,25,0,0.010362694300518135,16.782608695652176,13.315425907861545,95,56,27,17,9,8.0
1990,241,174,25,22,22,0,0,26,0,0.0056179775280898875,14.24,5.756943633561128,92,51,24,13,3,8.0
928,120,89,12,7,7,0,1,18,0,0.024242424242424242,13.75,6.00173586001028,38,21,9,7,3,7.0
2444,307,189,33,16,16,2,0,20,0,0.00881057268722467,13.757575757575758,7.088318615138241,111,72,40,17,13,9.0
2132,262,176,28,13,13,4,0,11,0,0.010075566750629723,14.178571428571429,5.713727651320928,93,70,28,12,14,9.0
573,67,51,6,1,1,0,0,3,0,0.030612244897959183,16.333333333333332,10.994948334980428,27,7,11,4,2,4.0
847,115,81,10,7,7,0,4,12,0,0.054878048780487805,16.4,6.1838499334961226,37,30,7,6,6,6.0
1537,190,146,24,2,2,2,1,14,0,0.003472222222222222,12.0,6.506407098647712,66,41,26,14,5,8.0
2058,275,179,30,10,10,1,0,22,0,0.009615384615384616,13.866666666666667,8.464566668701293,84,63,27,14,8,8.0
1659,196,142,17,14,14,0,0,27,0,0.016835016835016835,17.470588235294116,8.289736014095444,92,47,15,7,6,8.0
2323,261,208,22,21,21,0,1,28,0,0.010666666666666666,17.045454545454547,9.536900929486631,114,40,38,13,12,11.0
1227,152,125,11,12,12,0,0,12,0,0.017543859649122806,20.727272727272727,6.981676134918647,43,36,20,21,6,7.0
785,92,58,7,0,0,0,0,4,0,0.02027027027027027,21.142857142857142,10.356896548795348,31,22,6,7,9,5.0
2680,336,218,21,28,28,0,0,33,0,0.005747126436781609,24.857142857142858,9.881612140911084,112,69,36,27,14,11.0
1532,200,125,10,11,11,0,0,15,0,0.006644518272425249,30.1,13.77279927973976,74,28,23,13,5,7.0
2065,252,175,24,13,13,2,0,14,0,0.010638297872340425,15.666666666666666,4.393808775488022,86,60,28,19,12,8.0
2887,342,132,30,3,3,1,0,10,0,0.007312614259597806,18.233333333333334,9.464612453179946,114,71,33,7,26,10.0
2785,353,200,34,3,3,0,0,9,0,0.007619047619047619,15.441176470588236,8.131967334757563,132,71,49,12,36,8.0
2231,287,166,24,14,14,0,0,20,0,0.009433962264150943,17.666666666666668,10.853826770109958,93,64,14,14,9,9.0
1505,204,122,31,2,2,1,1,11,0,0.03146853146853147,9.225806451612904,3.9814868143523476,62,47,14,17,8,8.0
1200,152,105,15,3,3,0,0,7,0,0.018018018018018018,14.8,14.606847709208171,59,21,22,14,11,8.0
1397,180,141,7,1,1,1,0,16,0,0.014652014652014652,39.0,25.450231545396313,71,36,19,10,6,9.0
1317,163,80,13,11,11,0,0,12,0,0.01593625498007968,19.307692307692307,13.974617734607353,67,32,14,21,14,8.0
1316,171,107,14,3,3,0,1,8,0,0.01509433962264151,18.928571428571427,11.253344174157334,68,29,16,1,3,8.0
3108,390,255,27,16,16,5,4,22,0,0.006633499170812604,22.333333333333332,9.213516640723501,138,87,35,15,11,11.0
2221,271,197,29,17,17,4,0,30,0,0.010075566750629723,13.689655172413794,7.616241485395046,98,48,39,19,7,10.0
1577,198,141,13,10,10,2,0,19,0,0.012618296529968454,24.384615384615383,10.088366960464615,72,46,21,7,4,8.0
1605,214,110,20,2,2,0,0,5,0,0.012738853503184714,15.7,8.050465825031493,59,51,35,12,7,9.0
3045,359,234,39,23,23,7,3,28,0,0.003656307129798903,14.025641025641026,6.844376990198445,123,76,54,22,21,9.0
1368,163,105,13,2,2,0,0,12,0,0.01639344262295082,18.76923076923077,5.645336348279622,60,31,12,14,13,7.0
2424,298,176,26,16,16,1,0,23,0,0.009153318077803204,16.807692307692307,7.237823890822174,111,52,39,17,22,10.0
2928,336,203,30,20,20,1,0,33,0,0.008130081300813009,16.4,8.044045416745648,133,69,33,26,10,10.0
2230,279,229,25,28,28,5,1,27,0,0.00954653937947494,16.76,7.951251473824736,88,55,36,18,12,10.0
2679,327,237,32,12,12,2,4,17,0,0.008368200836820083,14.9375,9.532633096369544,108,67,40,20,10,11.0
2829,343,161,24,12,12,0,0,15,0,0.0076045627376425855,21.916666666666668,13.16218278081396,117,62,30,33,25,9.0
157,22,18,4,0,0,0,0,5,0,0.0967741935483871,7.75,4.493050188902857,6,6,4,1,1,2.0
2293,282,187,26,14,14,2,5,25,0,0.004597701149425287,16.73076923076923,9.221870710885293,96,58,31,20,13,10.0
1758,222,162,19,8,8,0,1,19,0,0.011904761904761904,17.68421052631579,13.082944427881941,67,52,31,16,11,8.0
2013,259,169,23,32,32,0,2,27,0,0.010230179028132993,17.0,6.646345841398735,89,53,27,22,9,8.0
2091,262,171,31,2,2,1,0,10,0,0.010256410256410256,12.580645161290322,4.824495250539333,89,54,29,17,13,9.0
3362,396,255,33,22,22,1,0,32,0,0.008532423208191127,17.757575757575758,7.156392789626089,151,74,48,19,23,11.0
2801,358,211,33,23,23,1,1,18,0,0.00749063670411985,16.181818181818183,8.339226566326035,117,76,39,14,10,10.0
1719,225,164,22,18,18,1,6,29,0,0.011834319526627219,15.363636363636363,7.516923056105134,77,48,30,15,7,9.0
1739,214,150,19,10,10,2,1,11,0,0.011799410029498525,17.842105263157894,10.03290983605421,55,48,19,18,10,8.0
1688,203,156,13,13,13,0,3,17,0,0.013114754098360656,23.46153846153846,13.703539041011293,74,35,20,14,4,8.0
2446,293,194,27,19,19,2,0,16,0,0.008733624454148471,16.962962962962962,7.786414957316182,111,65,29,18,10,10.0
1716,219,160,20,11,11,1,0,11,0,0.0061162079510703364,16.35,6.5899544763222755,74,57,23,10,14,8.0
1430,177,125,18,8,8,0,0,10,0,0.03088803088803089,14.38888888888889,9.933886387785602,56,36,23,15,4,8.0
1202,153,98,10,6,6,1,0,4,0,0.0163265306122449,24.5,9.047098982546835,49,28,16,5,1,8.0
1952,231,144,17,9,9,1,0,13,0,0.005509641873278237,21.352941176470587,12.223127434934867,80,46,35,8,6,9.0
2149,279,176,32,8,8,0,0,14,0,0.009876543209876543,12.65625,5.945635873268729,91,53,30,25,11,9.0
1590,215,129,15,2,2,0,0,17,0,0.0030120481927710845,22.133333333333333,13.783403869227014,56,57,25,12,5,8.0
2212,284,217,18,17,17,2,1,31,0,0.009779951100244499,22.72222222222222,10.010025838325825,92,59,38,23,8,9.0
3791,468,312,40,18,18,3,3,36,0,0.005722460658082976,17.475,8.70053877642069,161,89,66,25,18,11.0
2050,252,183,22,11,11,1,0,14,0,0.009925558312655087,18.318181818181817,10.006299668601338,78,61,27,16,3,8.0
1355,170,136,24,11,11,4,0,24,0,0.017167381974248927,9.708333333333334,2.423481769869311,63,34,24,10,7,8.0
1710,208,108,15,10,10,0,0,9,0,0.012738853503184714,20.933333333333334,7.663477597598162,71,45,25,7,2,9.0
1986,250,167,27,17,17,3,0,32,0,0.010958904109589041,13.518518518518519,9.036429852097523,88,58,24,11,16,9.0
1858,225,141,12,8,8,0,1,12,0,0.011363636363636364,29.333333333333332,17.693376036120284,92,47,15,5,7,9.0
2584,280,218,28,24,24,0,0,17,0,0.009615384615384616,14.857142857142858,4.983646726432117,114,48,45,26,10,9.0
1830,227,134,18,12,12,0,0,16,0,0.011869436201780416,18.72222222222222,8.613978017382598,77,42,35,13,12,8.0
1054,140,105,13,2,2,0,0,10,0,0.01904761904761905,16.153846153846153,6.904247899174423,53,32,10,8,4,8.0
2257,285,186,18,4,4,0,0,15,0,0.009324009324009324,23.833333333333332,14.091959882618648,96,56,26,21,10,9.0
1458,177,109,11,3,3,2,0,13,0,0.01444043321299639,25.181818181818183,18.324440618118253,52,45,15,18,11,7.0
2181,253,193,19,20,20,0,0,25,0,0.010416666666666666,20.210526315789473,11.450483544689378,89,49,43,16,10,10.0
3961,496,284,36,0,0,0,0,16,0,0.006675567423230975,20.805555555555557,9.030256070087827,144,103,59,36,11,10.0
2255,286,203,23,17,17,5,0,26,0,0.009259259259259259,18.782608695652176,6.52057960706702,80,52,30,29,2,9.0
1883,247,181,25,21,21,3,0,20,0,0.010899182561307902,14.68,9.328322464409128,98,51,14,15,6,8.0
1691,216,119,17,18,18,0,0,24,0,0.003105590062111801,18.941176470588236,7.368219421233761,70,37,27,12,14,8.0
2456,286,199,33,5,5,0,0,11,0,0.009389671361502348,12.909090909090908,6.653154350375268,105,65,26,18,15,8.0
1482,184,151,18,11,11,1,2,14,0,0.014598540145985401,15.222222222222221,7.375300789011596,71,30,23,10,6,8.0
2589,323,201,34,25,25,0,0,27,0,0.008350730688935281,14.088235294117647,6.840053521715366,107,69,36,24,14,10.0
2558,326,203,31,12,12,3,1,14,0,0.007858546168958742,16.419354838709676,9.164356597264831,96,76,31,18,7,10.0
2778,336,220,25,25,25,2,0,26,0,0.005940594059405941,20.2,9.810198774744578,127,58,28,21,21,10.0
1716,227,161,21,0,0,0,0,4,0,0.0029154518950437317,16.333333333333332,7.686310238298027,75,48,29,19,3,8.0
2244,277,172,34,18,18,7,9,16,0,0.008988764044943821,13.088235294117647,8.915840652056989,92,69,30,26,12,8.0
1207,152,119,11,11,11,0,0,20,0,0.018433179723502304,19.727272727272727,11.410449031805804,63,21,18,4,1,8.0
1758,220,156,16,11,11,2,0,15,0,0.011730205278592375,21.3125,5.095570993519765,70,40,28,23,5,8.0
1579,199,166,17,4,4,0,2,11,0,0.0313588850174216,16.88235294117647,9.718886119553224,82,33,21,11,5,10.0
2806,336,199,14,8,8,0,0,26,0,0.0038910505836575876,36.714285714285715,15.238244046892447,127,74,36,18,26,10.0
1510,199,146,19,4,4,0,0,8,0,0.006896551724137931,15.263157894736842,8.55226719871562,71,42,15,18,8,8.0
1570,197,149,17,26,26,0,0,29,0,0.0035211267605633804,16.705882352941178,9.547187487806848,65,39,24,17,11,8.0
2166,273,195,23,25,25,0,0,16,0,0.009592326139088728,18.130434782608695,7.651679825946076,92,66,30,17,14,10.0
1394,185,142,21,5,5,0,0,12,0,0.014336917562724014,13.285714285714286,6.790349294212704,52,47,21,9,8,8.0
1473,182,111,19,10,10,1,0,12,0,0.021739130434782608,14.526315789473685,9.298378019580289,81,23,22,3,7,8.0
1661,201,146,16,15,15,0,3,14,0,0.013377926421404682,18.6875,10.912829319200407,73,36,23,16,3,8.0
2518,315,245,39,21,21,1,2,21,0,0.00437636761487965,11.717948717948717,6.452782019582093,98,61,44,32,5,11.0
1846,233,146,21,10,10,1,1,16,0,0.011695906432748537,16.285714285714285,8.691226321180826,97,42,37,12,16,8.0
3001,343,217,32,31,31,2,0,31,0,0.008146639511201629,15.34375,8.59363636288504,142,65,42,23,32,11.0
1499,200,124,23,3,3,0,2,10,0,0.029801324503311258,13.130434782608695,7.035959486659983,66,45,15,14,6,8.0
1026,133,113,17,9,9,1,0,20,0,0.022099447513812154,10.647058823529411,4.458187134469745,53,18,23,8,5,6.0
2487,285,216,30,33,33,4,4,35,0,0.009324009324009324,14.3,7.883104295474806,96,56,47,23,8,11.0
1876,224,158,19,19,19,0,1,15,0,0.011976047904191617,17.57894736842105,7.617955171647435,81,42,29,15,14,9.0
1866,236,150,18,4,4,1,0,8,0,0.010899182561307902,20.38888888888889,9.141716887670553,75,49,26,17,9,8.0
2196,277,197,35,14,14,6,0,23,0,0.010282776349614395,11.114285714285714,6.017932386134097,107,53,24,15,12,9.0
1292,154,122,16,8,8,0,0,19,0,0.018691588785046728,13.375,6.546707187586749,59,34,28,6,11,8.0
1381,174,135,17,6,6,3,3,9,0,0.01486988847583643,15.823529411764707,6.653042595575855,60,39,21,8,4,8.0
2552,304,201,30,26,26,2,0,26,0,0.02,15.0,6.191391873668904,116,65,40,17,16,9.0
1378,170,115,19,3,3,0,0,12,0,0.01646090534979424,12.789473684210526,5.032305607074325,55,43,14,20,10,8.0
1239,161,100,15,0,0,0,0,12,0,0.01639344262295082,16.266666666666666,7.406903686576614,54,36,13,10,10,8.0
1638,201,149,12,2,2,0,0,12,0,0.013333333333333334,25.0,12.701705922171767,59,50,28,24,8,8.0
2021,262,168,23,14,14,3,1,32,0,0.0106951871657754,16.26086956521739,6.764468495489134,88,65,22,26,8,9.0
2260,284,190,18,12,12,0,0,11,0,0.009216589861751152,24.11111111111111,11.967032904743343,85,62,39,22,9,9.0
1843,236,172,28,16,16,0,6,32,0,0.014492753623188406,12.321428571428571,7.583127753810579,83,44,35,17,14,8.0
2367,295,195,30,11,11,0,3,16,0,0.0022123893805309734,15.066666666666666,7.7025248385765615,101,56,26,14,5,10.0
1941,232,175,15,12,12,0,0,14,0,0.010899182561307902,24.466666666666665,13.807566363732924,79,53,19,15,9,8.0
1875,237,143,23,18,18,1,0,21,0,0.011527377521613832,15.08695652173913,7.756697209947369,77,54,29,16,9,9.0
1978,250,178,32,22,22,2,0,27,0,0.010443864229765013,11.96875,6.400607270993902,92,49,26,9,6,8.0
2564,307,239,37,16,16,0,0,14,0,0.008968609865470852,12.054054054054054,4.57340104059979,118,58,40,13,11,9.0
2461,321,193,31,21,21,1,0,28,0,0.008368200836820083,15.419354838709678,5.20405669025423,97,61,39,27,9,9.0
1982,239,173,19,19,19,1,0,17,0,0.011235955056179775,18.736842105263158,6.560183768792793,95,50,25,12,12,10.0
2337,308,216,32,19,19,5,3,29,0,0.008771929824561403,14.25,5.408326913195984,103,70,42,18,13,9.0
3283,402,291,39,26,26,6,0,35,0,0.006896551724137931,14.871794871794872,7.147456019288682,154,78,52,20,2,10.0
1970,256,166,28,3,3,4,0,11,0,0.005141388174807198,13.892857142857142,6.337751323358679,79,56,29,18,8,9.0
3049,366,251,30,16,16,1,1,20,0,0.00718132854578097,18.566666666666666,9.714879767083527,126,77,43,20,13,11.0
1112,133,99,12,18,18,0,1,17,0,0.046153846153846156,16.25,8.535465228484425,50,32,19,15,9,6.0
521,66,46,8,4,4,0,0,4,0,0.08421052631578947,11.875,5.134138194478212,21,21,9,5,3,5.0
2143,270,203,31,12,12,3,0,19,0,0.00966183574879227,13.35483870967742,5.190241383514521,84,66,31,13,8,8.0
2780,362,211,31,32,32,1,0,32,0,0.00546448087431694,17.70967741935484,6.919787188537765,118,73,43,15,12,11.0
1432,197,128,16,1,1,1,0,10,0,0.013289036544850499,18.8125,10.217746510361275,58,47,24,5,5,8.0
2479,323,232,49,23,23,4,3,25,0,0.008368200836820083,9.755102040816327,4.740320372557707,107,67,40,19,6,10.0
1796,207,132,13,10,10,0,0,15,0,0.012012012012012012,25.615384615384617,12.200494703327287,65,49,21,11,7,8.0
1757,210,145,33,14,14,8,0,20,0,0.012738853503184714,9.515151515151516,5.576580966871499,82,49,20,11,11,8.0
1824,248,135,5,0,0,0,0,29,0,0.0026109660574412533,76.6,30.689411854905266,82,55,31,9,6,8.0
814,109,81,13,4,4,2,0,10,0,0.025,12.307692307692308,7.569011879261544,33,24,18,4,5,6.0
1869,220,167,25,17,17,3,0,22,0,0.012121212121212121,13.2,4.724404724407087,69,45,39,13,9,8.0
1323,157,130,17,13,13,2,1,26,0,0.01762114537444934,13.352941176470589,4.613805070853547,55,32,23,8,5,7.0
1685,208,154,19,15,15,0,1,28,0,0.013201320132013201,15.947368421052632,10.35919974663013,72,44,28,19,3,8.0
2076,249,172,23,5,5,0,0,8,0,0.010666666666666666,16.304347826086957,10.52712761768456,91,55,28,14,17,8.0
590,75,59,5,0,0,0,0,8,0,0.03418803418803419,23.4,10.326664514740468,27,15,5,3,0,5.0
3639,439,257,39,28,28,0,3,21,0,0.005979073243647235,17.153846153846153,8.630709812858225,142,91,52,27,12,10.0
2266,279,197,23,20,20,2,0,28,0,0.009302325581395349,18.695652173913043,11.888740682235936,93,60,31,19,11,8.0
1069,140,107,22,3,3,0,0,11,0,0.020512820512820513,8.863636363636363,2.509897762232459,45,32,21,12,3,7.0
2062,249,175,18,12,12,0,0,31,0,0.005361930294906166,20.72222222222222,13.498170886603512,89,49,32,8,9,9.0
2644,317,212,21,17,17,2,0,21,0,0.008385744234800839,22.714285714285715,16.461044511043575,121,60,44,14,18,11.0
2182,254,158,26,13,13,2,0,17,0,0.010256410256410256,15.0,6.928203230275509,89,56,36,13,5,9.0
2518,305,183,21,12,12,2,1,22,0,0.008368200836820083,22.761904761904763,13.986063682261106,104,81,27,17,6,10.0
2588,330,200,34,17,17,3,7,30,0,0.008048289738430584,14.617647058823529,6.588826128969064,111,69,32,26,19,10.0
2232,282,178,30,20,20,1,0,22,0,0.009569377990430622,13.933333333333334,7.698196036879174,105,55,29,15,15,9.0
2040,246,154,17,6,6,0,0,11,0,0.01639344262295082,21.529411764705884,11.627136853872715,87,50,27,13,11,9.0
1804,230,174,26,14,14,0,0,19,0,0.011494252873563218,13.384615384615385,6.895243193551976,75,39,24,11,4,8.0
2431,291,172,22,7,7,0,1,15,0,0.01978021978021978,20.681818181818183,11.04283545453943,96,57,41,18,6,8.0
1733,220,143,22,15,15,0,0,22,0,0.01238390092879257,14.681818181818182,5.521745142750398,81,43,25,9,8,8.0
2254,283,210,28,19,19,2,1,32,0,0.009389671361502348,15.214285714285714,6.651300317860211,104,49,26,17,3,9.0
1616,200,150,17,5,5,0,0,6,0,0.010067114093959731,17.529411764705884,7.5934774414611415,67,38,23,16,15,8.0
1041,138,98,13,3,3,0,0,4,0,0.020100502512562814,15.307692307692308,10.132845415430838,45,34,21,4,13,8.0
2833,330,248,26,23,23,0,0,22,0,0.008016032064128256,19.192307692307693,7.671221098110435,123,54,53,20,7,11.0
1803,233,151,23,21,21,1,0,17,0,0.011594202898550725,15.0,5.808539440752951,79,55,22,15,7,8.0
2388,297,198,29,9,9,2,5,26,0,0.009111617312072893,15.137931034482758,7.659675593792488,99,51,36,16,11,12.0
1157,145,89,14,2,2,0,1,1,0,0.01932367149758454,14.785714285714286,4.631855096249565,52,27,13,6,12,6.0
1191,160,117,16,9,9,1,0,15,0,0.016736401673640166,14.9375,4.160359810160655,54,35,11,8,4,7.0
988,125,97,6,9,9,0,0,11,0,0.020833333333333332,32.0,31.564748269760262,45,19,18,7,7,7.0
1957,261,178,39,2,2,1,0,4,0,0.02099737532808399,9.76923076923077,5.408737178845214,65,61,33,16,5,8.0
2450,291,172,23,12,12,0,0,20,0,0.01312910284463895,19.869565217391305,12.400225621461006,91,69,25,13,14,9.0
1101,144,88,13,0,0,0,0,14,0,0.00881057268722467,17.46153846153846,9.01806208600175,50,30,15,9,0,6.0
2354,279,195,24,24,24,1,2,28,0,0.00963855421686747,17.291666666666668,8.05956557279747,96,54,30,20,12,9.0
1940,237,132,26,7,7,2,0,12,0,0.011142061281337047,13.807692307692308,5.737992350379857,65,63,26,18,11,8.0
1291,162,98,13,12,12,1,1,10,0,0.003875968992248062,19.846153846153847,13.096365637053982,38,46,14,15,11,6.0
2763,351,205,28,13,13,2,0,28,0,0.00784313725490196,18.214285714285715,10.251679802623089,117,82,53,12,20,10.0
1453,193,114,7,8,8,0,0,12,0,0.020833333333333332,41.142857142857146,19.974473505870805,55,34,19,22,11,7.0
2160,282,166,25,12,12,0,0,21,0,0.009779951100244499,16.36,8.587805307527645,115,50,38,9,3,8.0
1707,210,159,19,12,12,0,0,12,0,0.018867924528301886,16.736842105263158,7.503277215661784,80,37,27,11,11,9.0
2260,256,169,22,21,21,1,4,26,0,0.010025062656641603,18.136363636363637,8.231289827931281,99,54,29,13,10,8.0
2421,290,201,21,24,24,1,1,28,0,0.009070294784580499,21.0,9.710083124552245,104,61,37,13,16,11.0
2251,289,192,17,6,6,0,0,29,0,0.009153318077803204,25.705882352941178,20.418459658105668,93,65,27,11,4,9.0
2001,256,157,34,10,10,2,1,14,0,0.010416666666666666,11.294117647058824,4.547328962373574,80,59,32,12,7,9.0
2325,295,180,29,7,7,3,0,13,0,0.008849557522123894,15.586206896551724,8.584337145817138,105,61,34,15,7,9.0
2393,302,215,25,20,20,1,0,21,0,0.009029345372460496,17.72,7.7589690036756815,111,64,40,15,16,10.0
2359,270,160,27,13,13,2,0,32,0,0.009876543209876543,15.0,9.797958971132712,115,46,42,16,26,9.0
2228,278,193,21,10,10,2,2,15,0,0.00980392156862745,19.428571428571427,9.921460283126667,100,56,27,22,16,9.0
2205,278,170,22,6,6,4,0,41,0,0.007211538461538462,18.90909090909091,8.01651188547222,94,54,42,6,10,10.0
2665,319,190,21,10,10,0,0,14,0,0.008333333333333333,22.857142857142858,8.860214521135717,119,60,48,21,14,9.0
1864,226,169,18,13,13,2,0,15,0,0.026627218934911243,18.77777777777778,8.495459934940122,85,35,29,10,7,8.0
2132,253,175,24,8,8,0,0,22,0,0.010752688172043012,15.5,8.612007121842542,101,46,26,20,9,10.0
1658,216,152,28,10,10,1,8,18,0,0.012422360248447204,11.5,6.592744930170264,83,42,25,11,7,9.0
1734,218,151,20,6,6,0,0,12,0,0.012012012012012012,16.65,9.275101077616352,68,50,24,18,7,8.0
1329,166,101,16,11,11,0,0,7,0,0.00423728813559322,14.75,5.994789404140899,61,36,25,5,11,8.0
2317,288,200,20,8,8,2,4,23,0,0.008948545861297539,22.35,10.598466870260058,98,59,24,16,7,9.0
1358,173,122,17,6,6,3,0,11,0,0.015444015444015444,15.235294117647058,8.328049074308042,50,43,17,10,6,7.0
3663,461,301,42,41,41,6,1,43,0,0.00436046511627907,16.38095238095238,5.979936219409754,141,106,45,28,15,11.0
1388,182,113,28,7,7,0,2,13,0,0.00390625,9.142857142857142,2.40110518771023,62,47,15,14,16,8.0
1776,218,132,11,12,12,0,0,13,0,0.01238390092879257,29.363636363636363,13.10289855006224,76,47,17,17,12,7.0
2759,334,231,27,10,10,0,0,20,0,0.008064516129032258,18.37037037037037,7.092761819855236,139,60,33,24,10,10.0
2075,256,132,30,3,3,0,1,19,0,0.002577319587628866,12.933333333333334,5.513216443742759,78,65,40,11,14,8.0
1662,207,140,23,12,12,1,3,16,0,0.013114754098360656,13.26086956521739,7.016857907641442,77,46,17,12,13,8.0
1221,159,118,11,1,1,1,0,18,0,0.009259259259259259,19.636363636363637,12.077572959624021,53,38,15,9,11,6.0
2350,294,181,31,11,11,0,0,15,0,0.009216589861751152,14.0,4.938329350518609,96,71,26,22,21,9.0
2658,331,256,31,45,45,3,1,45,0,0.00819672131147541,15.741935483870968,8.507938387690693,124,71,41,22,7,11.0
2322,273,199,24,23,23,2,1,28,0,0.00975609756097561,17.083333333333332,6.376497645433755,106,61,52,18,12,10.0
1880,230,165,23,11,11,4,1,16,0,0.024725274725274724,15.826086956521738,5.661864602323801,81,52,17,19,4,10.0
1862,251,126,23,3,3,0,0,14,0,0.01078167115902965,16.130434782608695,6.243635701054781,73,61,22,12,14,8.0
1837,219,151,19,10,10,0,0,16,0,0.012307692307692308,17.105263157894736,4.865504104808239,75,59,24,9,14,9.0
630,75,61,6,3,3,0,0,4,0,0.034482758620689655,19.333333333333332,8.537498983243799,23,18,12,3,3,6.0
1602,208,141,22,19,19,1,1,17,0,0.013468013468013467,13.5,4.449208305469024,80,44,21,10,20,8.0
1952,230,166,17,8,8,3,0,22,0,0.011560693641618497,20.352941176470587,9.209593313308671,91,43,30,7,7,8.0
2441,314,228,26,25,25,1,6,44,0,0.019650655021834062,17.615384615384617,10.702540759007876,106,59,38,12,12,9.0
1013,126,99,10,11,11,1,1,12,0,0.01098901098901099,18.2,8.518215775618742,42,34,16,7,11,8.0
4077,490,308,41,35,35,0,1,55,0,0.005420054200542005,18.0,8.027392128845078,190,106,67,23,27,10.0
2038,240,132,28,14,14,4,0,14,0,0.011111111111111112,12.857142857142858,4.3153735619980615,103,45,30,16,20,8.0
2129,266,202,25,25,25,6,3,35,0,0.010256410256410256,15.6,8.158431221748454,96,57,39,17,9,10.0
1261,160,117,10,6,6,1,1,21,0,0.004166666666666667,24.0,10.459445491994305,55,32,21,9,6,8.0
2879,372,261,37,22,22,2,1,46,0,0.0078125,13.837837837837839,7.283871533342962,147,80,29,16,8,10.0
1876,225,168,23,13,13,0,0,18,0,0.012195121951219513,14.26086956521739,6.488902843580072,83,44,30,14,6,10.0
2927,369,253,44,22,22,9,8,36,0,0.0018281535648994515,12.431818181818182,7.77933663704025,138,75,44,27,18,12.0
1796,218,154,19,12,12,0,14,24,0,0.011764705882352941,17.894736842105264,9.530531198771026,62,55,24,13,8,8.0
1728,219,148,17,6,6,1,0,12,0,0.011940298507462687,19.705882352941178,10.893952482549276,70,45,27,18,8,8.0
2673,324,238,29,28,28,2,2,54,0,0.0091324200913242,15.10344827586207,9.071915083476442,132,65,50,9,19,12.0
2128,261,178,24,19,19,0,0,22,0,0.010075566750629723,16.541666666666668,7.251316930201176,101,47,38,16,17,8.0
518,67,48,6,1,1,0,0,3,0,0.04081632653061224,16.333333333333332,8.117197107923946,25,10,19,0,2,5.0
1982,249,184,29,4,4,1,0,21,0,0.008264462809917356,12.517241379310345,4.687626335990739,94,53,35,12,6,8.0
2213,277,167,23,12,12,0,0,13,0,0.024509803921568627,17.73913043478261,10.8114970660438,94,57,22,18,13,9.0
2465,302,118,12,13,13,0,0,11,0,0.0021551724137931034,38.666666666666664,21.765160744231185,97,60,37,23,17,8.0
1644,197,139,20,18,18,1,0,26,0,0.014084507042253521,14.2,8.133879763065101,75,47,31,16,13,9.0
2008,234,177,22,29,29,0,1,23,0,0.011627906976744186,15.636363636363637,7.450109544926501,91,55,26,16,14,10.0
1922,243,188,26,15,15,2,4,30,0,0.024861878453038673,13.923076923076923,9.202520879223496,88,48,24,14,5,8.0
2658,316,236,29,35,35,5,0,27,0,0.008676789587852495,15.89655172413793,8.801821236250532,107,76,44,25,10,10.0
1703,220,167,18,22,22,3,3,33,0,0.012307692307692308,18.055555555555557,11.534837195894983,73,51,21,18,4,8.0
2310,270,168,23,14,14,2,5,31,0,0.010075566750629723,17.26086956521739,7.4845777163232405,108,44,42,15,24,10.0
1925,240,155,17,8,8,0,0,9,0,0.011204481792717087,21.0,9.935083409460697,89,42,23,15,11,9.0
2051,252,159,19,10,10,0,1,21,0,0.02570694087403599,20.473684210526315,9.30969173017041,101,52,21,19,11,9.0
3112,383,228,28,30,30,2,0,21,0,0.006600660066006601,21.642857142857142,8.473548277325342,117,93,38,19,17,11.0
611,77,59,4,1,1,0,0,7,0,0.035398230088495575,28.25,3.491060010942235,31,19,3,7,2,5.0
2181,283,212,28,25,25,2,5,38,0,0.00963855421686747,14.821428571428571,10.288876002156655,98,59,37,19,7,10.0
2349,287,203,21,17,17,2,0,24,0,0.009324009324009324,20.428571428571427,10.463412120206243,105,50,39,18,5,9.0
2322,309,185,23,13,13,0,6,23,0,0.006437768240343348,20.26086956521739,9.47407167095885,97,53,36,26,10,10.0
